polarity	sentence
1	Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo
1	Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.
1	O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..
1	Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.
1	Comida Boa por um bom preço.
1	Boa carne, atendimento eficiente e grande variedade de saladas.
1	Local agradável.
1	Adoro as pizzas e o almoço, nas duas unidades.
1	O atendimento também é muito bom.
1	Delivery também vale super a pena.. a pizza chega bem quentinha!
1	Atendimento bom, local familiar.
1	Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.
1	Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.
1	Deliciosos pratos.
1	Local aconchegante e familar.
1	Boa comida e boa bebida.
1	Tucunaré peixada sem igual.
1	A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.
1	Os pratos, petiscos e bebidas são nota 10!
-1	Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.
-1	Mesmo com os preços um pouco salgados....
1	Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,
1	Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.
1	Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.
1	Cortes especiais das mais nobres carnes são um convite todo especial.
1	Delicioso, variado e completo buffet.
1	Pratos quentes fenomenais.
1	Ambiente amplo, confortável e muito agradável.
1	Atendimento nota 10.
1	Exelente localização.
1	E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.
-1	atendimento deixa a desejar.
1	Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.
1	A comida estava boa e bem servida.
1	O ambiente é amplo com 2 andares e banheiros bastante limpos.
1	O atendimento é cordial.
1	O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.
1	Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.
1	O restaurante do SENAC é bem situado.
1	Ambiente super higienizado, atendimento excelente, os preços são ótimos.
1	As comidas são excelentes.
1	Vale experimentar o tambaqui na brasa, é muito bom!!!
1	Muito bom o atendimento.
1	Cardápio variado.
1	Ambiente agradável.
-1	Custo benefício alto.
1	Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.
1	Comida muito boa.
1	Casa muito linda, grande e elegante.
1	Buffet variado de pratos quentes e frios.
1	Churrascaria perfeita, Fanatástica!
1	Excelente comida, excelente atendimento.
1	Pouca tempo de espera se consideramos que era uma data festiva.
1	Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.
1	Ambiente bem amplo.
1	Atendimento muito eficaz!
1	Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.
1	Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!
1	Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.
1	Cafezinho esse que aliás, é muito bom.
1	O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...
1	Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.
1	A melhor peixaria da cidade!
1	Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.
-1	O preço é um pouco acima da média, mas vale cada centavo que custa.
-1	Ligue o quanto antes porque o horário para agendar reserva é limitado.
1	Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.
1	Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.
1	Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).
1	Local agradável, vale a visita e excelente custo benefício (1 prato serve 3).
1	ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.
1	Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço.
1	É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno.
1	Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!
1	Lugar novo , dentro do shopping Ponta Negra.
1	Serviço bom.
1	Som ao vivo agradavel.
1	Muito bom, recomendo atendimento 100% Agradeço o Ricardo José pelo excelente atendimento e o prato de camarão show!!!
1	O atendimento foi ótimo, a entrada (banana pacová com patê de algum peixe) foi uma delícia e o tambaqui, em si, um espetáculo!
1	O preço também é ótimo!
1	Comida regional chique demais.
1	Ambiente agradável com decoração lembrando a Amazônia como parede imitando escamas de pirarucu e casa de pau-a-pique.
1	Melhor rodízio de pizza de manaus (de terça a quinta-feira), a pizza com massa fininha, bem recheada e com vários sabores, muito bom!!
-1	O rodízio tem um preço acima dos concorrentes, mas vale o cobrado pela qualidade oferecida.
1	O serviço é bom, sempre tem um garçom por perto e o bacana é que possui um estacionamento gratuito bem em frente.
1	Já na sobremesa, as pizzas de cupuaçu e de mm's já fazem valer o rodízio, por serem sensacionais.
1	A comida é ótima, saborosa e bem preparada.
1	O ambiente é agradabilíssimo!
1	Coco bambu é maravilhoso em qualquer lugar!
1	De sobremesa a cocada ao forno com sorvete é espetacular!
1	Sem duvidas, o Restaurante Banzeiro é uma das melhores peixarias de Manaus!
1	A criatividade na elaboração dos pratos é fantástica!
1	Uma explosão de sabores regionais inigualável!
-1	O local é bastante simples e até que o preço cobrado não é tão "simples" assim , mas a comida era boa .
1	O nome engana - o lugar tem uma variedade enorme de todo tipo de bebidas, comidas tipicas deliciosas padrão gourmet, um ambiente aconchegante.
1	Excelente atendimento, garçom Ebrahim muito educado e atencioso.
1	Ótima variedade de sucos.
1	Salgados e sanduíches saborosos, porém o valor exorbitante cobrado me deixa insatisfeito.
1	Restaurante muito bom e concorrido de Manaus.
1	Comida regional com pratos generosos.
1	Preço justo
1	Comida saborosa.
1	Peixe estava bem preparado no ponto e com acompanhamentos deliciosos.
1	Boas pixzzas e boas massas.
1	Lugar aconchegante e tranquilo.
-1	Atendimento razoavel, principalmente quando está cheio.
1	Preço justo pela qualidade dos pratos.
1	Achei bem saborosa e com recheio de qualidade.
-1	Não gostei muito da borda com gergelim, algo fora do padrão de pizza.
1	Buffet com opções variadas e saborosas.
1	Serve lanches e cerveja gelada, tem mesinhas fora do estabelecimento, funciona em uma casa antiga o que faz parte do seu charme.
1	Recentemente inaugurado e em plena Savassi, o restaurante é um local agradável, com sua cozinha espanhola com influência mediterrânea, conta também com um espaço cultural com exposições de artes, apresentações artísticas e dança flamenca.
1	O bar fica próximo ao Teatro Amazonas, e geralmente tem música ao vivo acompanhada de cerveja gelada.
1	O ambiente é agradável em razão da diversidade de seus frequentadores.
1	Um lugar seguro, agradável, aconchegante, preço acessível, bem localizado, faça uma visita com a sua família ou amigos.
1	Sabor da comida fantástico, em qualquer especialidade típica da região.
1	Além do atendimento e ambiente super confortável.
1	Além de continuar com um bom self service, com destaque para as sobremesas, também tem boas opções a la carte.
1	Também tem bons shows folclóricos nas quintas feira.
1	Fora isso, o atendimento é MUITO bom e o ambiente/vista são lindos.
1	As empanadas deste lugar são deliciosas, e as cervejas também, tem boa opção de vinho!!
-1	Gostei, pena que o lugar é pequeno, muitas vezes não tem lugares disponíveis!
1	A carne de sol é ótima, muito bem servida, as Cervejas do Dedé são muito saborosas, principalmente a Dunkel, o atendimento é top
1	Esta sorveteria é muito simpática, bem em frente ao Teatro Amazonas, na praça.
1	Experimentei o sorvete de Creme de Cupuaçu, delicioso!
1	Além disso, o pessoal que atende é muito gentil!
1	Muito bom, local simples de boa qualidade, sucos deliciosos e abundantes.
1	Preço razoável.
1	adorei estar neste lugar o qual possue um otimo cardapio regional local alem do otimo atendimento o local e bastante amplo e bem climatizado com amplo estacionamento e otima localizacao.. recomendo a todos..
1	É uma delicia a carne sol do coqueiro verde, com mais os bolinhos de macaxeira frita.
1	boa localização, bonito, amplo , limpo, pessoal atencioso , comida super agradável, e farta ; as carnes sao da melhor qualidade
1	Excelente comida, cozinha aberta a visita, estacionamento amplo, lugar bem aconchegante, amplo, bom atendimento, selv service.
1	Ótimo atendimento, carnes saborosíssimas, ambiente agradável com brinquedoteca, boa opção para os pais que tem filhos pequenos.
1	Deliciosamente ,variedades no cardápio ,ambiente confortável e com um preçinho saboroso,indico p todos,vale conferir
-1	Primeiro o garçom foi inconveniente ao insistir no que deveríamos pedir, pedimos de entrada um camarão de 76 reais que não estava bem preparado.
-1	Depois de muita dúvida pois o cardápio é muito extenso e repetitivo, pedimos um camarão Iracema(157 reais) que no cardápio dizia servir até  4 pessoas, talvez serviria se a quarta pessoa aceitasse comer só arroz de leite, pois sobrou uma quantidade enorme, camarão mesmo que é bom achei que só come no máximo 3.
-1	Resultado, 300 reais a conta pra três pessoas, lugar bonito mas a comida, o atendimento e o preço não valeu a pena.
1	Fui diversas vezes desde qdo mudei pra Manaus e trouxe as visitas ( turistas) pra ter a experiência de tomar sopas variadas em sistema de buffet, em ambiente rústico e amplo.Todos sempre gostaram da experiência
1	O ambiente é sofisticado e há bastante opção de acompanhamento, desde saladas, geleias, queijos e o tradicional para um churrasco.
1	Se você procura comer um bom bacalhau, estará no lugar certo.
1	Experimentei dois pratos e ambos estavam divinos.
1	O ambiente é muito bonito, mas nem tanto acolhedor.
1	Os funcionários são educados, porém, numa das vezes que estivemos houve um problema com a conta (erro da casa) e a mesma não se esforçou para resolvê-lo.
-1	Todavia, o preço dos pratos são assustadores, muito embora um prato individual serve com fartura duas pessoas, mas ainda assim o preço é puxado.
1	Boa estrutura, ótima comida, esperava ais variedade, serve rodízio e a la carte, atendimento bom, poderia ter maior área climatizada, não identifiquei mobilidade para cadeirantes, idosos, se for em um numero grande de pessoas, é bom fazer uma reserva.
1	Ótima opção pra quem gosta de um rodízio de massa e pizza em um ambiente descontraído repleto de jovens e muita energia positiva.
1	Atendimento sempre excelente !
1	Comida típica da região, gostosa, feita com capricho, peixes frescos, tudo muito gostoso!!
1	Atendimento excelente, garçons muito atenciosos!
1	Infelizmente as bebidas pra quem quer uma experiência completa, não vai de total encontro a expectativa, caipirinhas e caipiroskas mal elaboradas, mas logico os sucos são muito bem feitos e a batida de cacau sensacional.
1	é um otimo restaurante, os pratos sao muito bons, o ambiente e o atendimento também, porém há um problema com a acústica do restaurante, muito barulhento
1	Ambiente ótimo pra ir com amigos, comida muito boa mesmo.
1	A decoração é linda e voce pode caminhar pelo local e conhecer cachaças de varias partes do país e do mundo, e o melhor estão todas a venda, otimo ambiente.
1	Excelente churrascaria.
1	O ambiente é bem agradável.
1	Pedi a picanha e a carne veio suculenta e no ponto certo.
1	O atendimento também foi ótimo e a comida veio super rápido.
1	Local bonito e agradável, localizado dentro do shopping Manauara.
-1	O atendimento deixou um pouco a desejar porque tinha garçons que não sabiam quais os chopes disponíveis na casa e chegamos a ficar 15 min esperando uma rodada com um monte de garçom ocioso.
1	Apesar de não terem matrinxã assado, o qual queria jantar, o tambaqui estava saboroso e a farofa branca com ovo estava muito bom.
1	além da variedade de bebidas e um chopp bem geladinho.
1	O local é lindo , a comida é ótima (sem falar na batida de coco!!)
1	, música ao vivo e o atendimento perfeito do garçom Bruno .
-1	É horrivel, o atendimento vai de mal a pior só depende do astral dos funcionários, além disso para "mundo" de alguma coisa essa  casa passa muito longe!
1	é um lugar agradável por estar no Largo, no entanto poderia ser um ótimo lugar se mudasse a administração, seria realmente um lugar interessante de se conhecer!
1	para jantar recomendo, pratos diferenciados, não tradicionais, ou melhor tradicionais modificados, o chefe tem um menu muito gostoso.
1	o lugar é agradável, pequeno, parece com o japao realmente.
1	Grande bufê  que inclui além de pratos quentes, sushis e saladas que servem de acompanhamento para os variados tipos de carne que é servido.
1	O atendimento é muito bom; a comida, saborosa; o chopp está sempre na temperatura certa!
1	Embora seja um restaurante recém inaugurado o atendimento é ótimo.
1	A comida é muito boa.
1	Com cardápio variado.
1	Boa carta de vinhos.
1	E o preço não é abusivo.
1	Um bom atendimento, a comida estava deliciosa, tudo na medida certa, a localização do restaurante é ótima, o saber de comidas regionais pe o que mais surpreende, voltarei outras vezes com certeza !!!!
1	A comida é extremamente saborosa e os pratos são bem servidos.
1	Lanchonete com variedade em lanches e sucos, um bom atendimento e está em uma boa localização da cidade.
1	Excelente atendimento agilade rapidez desdo garçom a gerência chopp gelado ambiente agradável parabéns...Voltaremos quando estivermos em Curitiba.
1	O ambiente é bem amplo, iluminado.
1	Atendimento muito cordial dos funcionários.
-1	Caro demais.
1	O cardápio é outra falácia, pois pedimos uns 4 itens que não estavam disponíveis.
-1	Boteco bem simples com preço de Bistrô.
1	Um bom lugar para estar com a família e/ou amigos, incluindo crianças.
1	Restaurante muito aconchegante e com bom atendimento.
1	A cozinheira veio até à nossa mesa e se colocou à disposição para confirmar o bom atendimento.
1	Preço bom e comida muito boa.
1	Os sushis são diferentes, frescos e incríveis.
1	Primeiro que o serviço é excelente e o cardápio, apesar de pequeno, contempla todos os gostos.
1	Comi gnui e estava maravilhoso.
1	A sobremesa estava excelente.
1	Almoço caseiro muito bom, três opções de carne, muita variedade de saladas, três frutas, um bufê de sobremesas incrivel, com bolos e tortas doces e dois sucos naturais, o melhor é o preço, R$18,90 a vontade!!!
1	Ambiente rústico que traz o apelo artesanal.
1	O cardápio conta com pizzas de sabores diferenciados, bebidas interessantes e preços compatíveis.
1	A fabricação é visível aos clientes e o atendimento é bom.
1	Bem localizado na Av.
-1	Fui com amigos comemorar um aniversário, por fora o prédio é bem velho e feio.
1	As estradas foram boas mas o como prato principal pedi um bacalhau para dois e não achei grande coisa, estava bom mas um pouco ressecado.
-1	De sobremesa pedi um sorvete  que vem com dois tipos de mousses, porção bem pequena.
1	Estive almoço de Natal do Fogo de Chão Danto Amaro e o atendimento foi excepcional.
1	É tipo um boteco sofisticado.
1	O espaço é apertado , mas o serviço é bom e os aperitivos são de qualidade , muito bons.
1	Muito bem localizado em frente à praia de Meirelles, pouco depois da popular "feirinha", com excelente atendimento e ambiente muito agradável.
1	O restaurante Coco Bambu de Fortaleza/CE é excelente, com dezenas de opções de pratos, variando entre peixes, frangos e carnes vermelhas.
1	O atendimento é extremamente agradável, com garçons muito solícitos e simpáticos.
1	Restaurante com atendimento cordial, preço na média da região e boa variedade de pratos e sobremesas.
1	Local muito bom , na Passarela do Caranguejo.
1	Com excelente comida e música ao vivo.
1	Destaque para a decoração que achei incrível .
1	ótimo atendimento.
1	A melhor cerveja artesanal de Belém, fica na Cervejaria Amazon Beer, localizada na Estação das Docas, próximo ao ver-o-peso, um dos ambientes mais indicados para os turistas, além, de poder ver o por-do-sol a beira da baia do guajará.
1	As pizzas da Forneria são ótimas!!
1	Massa deliciosa, ingredientes de qualidade.
1	O atendimento é muito bom e o preço bem justo.
1	Atendimento muito bom, o bacalhau esplêndido.
-1	O único defeito é o espaço que é pequeno.
1	Os pratos quentes do restaurantes são deliciosos.
1	O kilo perto dos R $ 75,00 torna o almoço de rotina muito caro , permitindo o cálculo e trazendo o almoço no Mangai pra uma realidade possível , quanto ao sabor ... muito bom !
1	Comida perfeita, atendimento do garçom Wemerson nota 10, música agradável, ambiente agradável
1	Bebida sempre gelada , pessoas bonitas  e simpáticas , lugar perfeito para fazer amizades e passar a noite toda bebendo e comendo!
1	Atendimento top, Wemerson garçom com um atendimento impecável, chopp gelado e comida de primeira.
1	Muito bom!!!
1	A comida do restaurante é maravilhosa, com boa variedade de pratos e vinhos, o ambiente também é fenomenal.
-1	Porém o atendimento deixa muito a desejar, a entrada demorou muito mais que o prato principal, acredito que esqueceram de encaminhar o pedido, a coca-cola que pedimos não veio, tivemos que pedir a outro garçom.
-1	E os preços são um pouco caro, nada exorbitante, mas R$ 16,50 numa entrada simples de apenas 06 torradas de brusqueta e R$ 51,00 num prato de macarrão simples com molho vermelho é um pouco defasado da realidade.
1	comida muito boa e de alto nível, lugar super agradável e atendimento de primeira.
1	Comidas típicas do Nordeste, decoração rústica é bem aconchegante com atendimento ótimo e estacionamento privativo.
-1	Lugar pequeno e no ápice do sucesso, então é normal que tenha fila.
1	Achei a gestão da fila atenciosa e amigável.
1	O lugar é descontraído e a proposta particular e bem cuidada nos detalhes.
1	Os garçons são muito educados e atenciosos.
1	O ambiente é interessante.
1	Ambiente familiar.
1	Os pratos são extraordinários, atendimento cortês e a Carla Pernambuco passa de mesa em mesa cumprimentando os clientes.
1	Uma opção excelente, os hambúrgueres são muito gostosos, a maionese artesanal é espetacular, as batatas bem crocantes, o atendimento é sempre bom.
1	O melhor fondue que já comi!!!!
1	Tudo com muita qualidade e atendimento ideal.
-1	Única coisa chata é a espera.
1	Mantiveram tudo igual: buffet de saladas incrivel e as carnes chegando a mesa no estilo rodízio.
-1	Preços bem salgados por sinal.
1	Local linda, com mesas ao ar livre e super arborizado, tem um cantinho pra crianças com alguns brinquedos e lápis pra desenhar.
1	Vale a visita em um dia ensolarado, local muito aconchegante.
1	Comida maravilhosa, preco justo....
1	Bar do Adão é tradicional dos cariocas!
1	Fomos comemorar meu aniversário no Coco Bambu e tivemos um excelente atendimento - garçom Carlos , além da comida que estava deliciosa e bebidas perfeitas.
1	Comida boa e com um diferencial no sabor.
1	Lanches de qualidade e com inovação, bom para um final de tarde entre amigos
1	Outback é uma otima opção para comer e beber com qualidade, fica situado no shopping Center Norte com facil acesso, muito bom para almoço em familia, amigos e ate mesmo um almoço de negócio informal, recomendo como pedido a costelinha de porco, simplesmente perfeito.
1	Sem duvida o menezes Grill é o melhor espetinho de carne que existe no bairro da Cidade Velha é bem servidor e delicioso.
-1	Achei muito caro por aquilo que serve.
1	Primeira vez que fui ao Mamma Jamma e tive uma boa experiência.
1	Preço é justo: Pedi de entrada um pão com calabresa, com queijo gratinado (muito bom, por sinal) e uma pizza grande para dividir por 2 pessoas + bebidas, e deu um pouco menos de 60 reais para cada.
1	Atendimento e comida excelente como sempre!
1	Restaurante dentro do Copacabana Palace....atendimento impecável, comida muito boa  e ambiente bom...
1	Restaurante nota 10, da recepção no estacionamento, atendimento, menu, visual, conforto e comida deliciosa.
1	O preço compatível com a qualidade, menos de R$ 100 por pessoa com entrada, bebidas, pratos e sobremesa.
1	Amplo estacionamento, serviço de primeira, uma das melhores opções de João Pessoa.
1	Ó restaurante não é muito grande, mas o serviço é muito bom e os pratos fartos.
1	Pedi de entrada casquinhas de siri e iscas de lagosta crocante, tudo muito fresco.
1	De prato principal delícias do mar com cherne e lagosta e a qualidade se manteve e para finalizar carpaccio de banana, muito bom.
1	O atendimento foi excelente e cada garçom que nos atendeu nos deram todas as informações e sugestões para que tivéssemos uma noite agradabilíssima.
